1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0.032251,0.046545,0.051167,0.034325,0.017141,0.0011587,0.002315,0.0027754,0.0013009,0.00036622,0.010639,0.017732,0.019944,0.011724,-0.00091791,0.034039,0.048115,0.052682,0.036068,0.019137,2.4425,2.6929,2.7613,2.4767,2.9545,0.2527,0.86122,0.96727,0.38387,-1.2332,0.060914,0.096579,0.10764,0.066338,0.01542,1.8887,2.0749,2.1036,1.9327,1.9807,0.0010401,0.0021665,0.002618,0.0011782,0.00029382,0.022678,0.032888,0.031603,0.020265,0.017571,0.00047603,0.00096206,0.00088962,0.00038822,0.00034406,0.0098875,0.015486,0.014844,0.0084236,0.0027736,0.021818,0.031017,0.029826,0.019703,0.018549,2.2539,2.6752,2.6101,2.3955,2.1958,-0.29528,0.56733,0.49714,-0.51755,-0.084388,0.038955,0.073033,0.069276,0.029677,0.029683,1.7177,2.2207,2.1921,1.4645,1.6893,0.00051429,0.0010816,0.00099876,0.00041065,0.00030875,1
0.036274,0.036378,0.035797,0.036496,0.036876,0.0013955,0.0014404,0.0013445,0.0013122,0.0012998,0.010937,0.0094175,0.011355,0.014394,0.015676,0.037357,0.037953,0.036668,0.036225,0.036053,4.603,4.6256,4.5229,3.5268,2.6548,1.7663,1.7921,1.7241,1.3183,1.013,0.092891,0.092865,0.091375,0.088101,0.082802,2.5608,2.5528,2.5526,2.414,2.2454,0.0013158,0.0013233,0.0012814,0.001332,0.0013599,0.031033,0.031324,0.042846,0.05575,0.049016,0.0011452,0.0011414,0.0019767,0.0032282,0.0025128,0.0029448,0.0054788,0.013731,0.020443,0.017566,0.033841,0.033785,0.04446,0.056817,0.050128,2.4367,2.845,2.3004,2.5833,2.4528,-0.82888,-1.049,-0.32654,0.3799,-0.0069692,0.03333,0.033793,0.073307,0.11358,0.092819,1.7813,1.7824,1.7109,2.0372,1.8937,0.00096304,0.00098122,0.0018358,0.0031081,0.0024026,1
0.021059,0.024868,0.02505,0.020995,0.022616,0.00051714,0.00070983,0.00072315,0.00051012,0.0005557,0.00047684,0.003159,0.0027716,-0.0018775,-0.0059306,0.022741,0.026643,0.026891,0.022586,0.023573,2.1281,1.9048,1.9053,2.6692,2.7936,0.048337,0.23006,0.17417,0.14748,0.56142,0.034343,0.040423,0.039153,0.03611,0.0368,1.6308,1.6255,1.563,1.72,1.6666,0.00044349,0.00061841,0.00062752,0.00044077,0.00051149,0.030722,0.025119,0.024103,0.024247,0.022906,0.0010259,0.00043216,0.0003521,0.00046438,0.00014498,0.011095,0.016888,0.017299,0.014711,0.020217,0.03203,0.020789,0.018764,0.02155,0.012041,2.4366,1.9602,1.8693,2.0279,1.7093,-0.69097,0.16177,0.26311,-0.24048,0.47413,0.0464,0.04541,0.043318,0.04108,0.037266,1.5103,1.8078,1.7972,1.6942,1.6269,0.00094382,0.00063095,0.00058094,0.00058791,0.0005247,1
0.012586,0.017853,0.015611,0.0090654,0.016722,0.00018673,0.00035696,0.00027586,9.38E-05,0.00029172,-0.0030041,-0.0057578,-0.0047982,0.0026703,0.0068009,0.013665,0.018893,0.016609,0.0096857,0.01708,1.6403,2.2652,2.0159,1.8638,2.1016,-0.41962,-0.84293,-0.65221,-0.71865,0.46791,0.010047,0.010157,0.010274,0.010398,0.032349,1.7525,2.0067,1.9251,1.3148,1.9345,0.00015841,0.00031872,0.00024371,8.22E-05,0.00027963,0.064651,0.067979,0.05552,0.047581,0.043349,0.0052097,0.0057392,0.0038514,0.0027908,0.0022727,-0.0034516,-0.0054651,0.0011505,0.0055884,0.0078073,0.072179,0.075757,0.062059,0.052828,0.047673,2.4904,2.5631,2.4065,2.3035,2.2628,-0.61833,-0.73664,-0.44718,-0.17383,-0.02303,0.080885,0.079487,0.077611,0.075451,0.073007,1.8065,1.8661,1.6811,1.5857,1.6842,0.0041797,0.0046212,0.0030824,0.0022639,0.0018791,1
0.022017,0.020634,0.020588,0.018956,0.017923,0.00053203,0.00042804,0.00045737,0.00037318,0.00027497,0.0064323,0.0083098,0.0065366,0.0069538,0.0095963,0.023066,0.020689,0.021386,0.019318,0.016582,2.3968,2.6578,2.3512,2.3569,2.4466,0.66827,0.80395,0.6567,0.62409,0.028702,0.04542,0.044448,0.042489,0.039233,0.034738,2.063,2.1542,2.0638,2.0697,1.9382,0.00048474,0.00042575,0.00042387,0.00035934,0.00032123,0.040175,0.030838,0.028534,0.035031,0.03314,0.0017484,0.0010996,0.00097667,0.0014052,0.0012739,0.012533,0.0058897,-0.00054788,-0.0074991,-0.0060609,0.041813,0.03316,0.031252,0.037485,0.035691,2.4428,2.8528,2.6418,1.5471,1.6295,-0.28813,-1.0334,-0.67682,-0.28763,-0.27985,0.070097,0.035625,0.035622,0.035619,0.035615,1.7448,1.761,1.9066,1.554,1.6419,0.001614,0.00095099,0.00081419,0.0012272,0.0010983,1
0.018744,0.021982,0.028349,0.028702,0.022294,0.00025995,0.00030611,0.00051565,0.00053047,0.00031364,0.011975,0.015438,0.019777,0.019985,0.015688,0.016123,0.017496,0.022708,0.023032,0.01771,2.6823,1.6471,1.2932,1.3131,1.5723,1.0644,0.40895,0.31032,0.3238,0.37091,0.038999,0.039846,0.047483,0.048526,0.039859,2.0806,1.8127,1.675,1.6907,1.7879,0.00035135,0.00048321,0.00080364,0.00082379,0.00049702,0.055159,0.059178,0.062206,0.05556,0.058452,0.0037925,0.004135,0.0044665,0.0037816,0.0042439,0.0029175,0.01393,0.017217,0.0078484,-0.0046433,0.061584,0.064304,0.066832,0.061495,0.065145,2.4928,2.9908,2.9028,2.8916,1.6717,-0.9584,-1.3338,-1.2692,-1.226,-0.51531,0.05165,0.051627,0.064397,0.051571,0.051543,1.777,1.6604,1.5792,1.7629,1.6664,0.0030425,0.003502,0.0038696,0.0030869,0.0034167,1
0.016464,0.01828,0.013515,0.014354,0.020409,0.00029168,0.00035746,0.00019903,0.00022435,0.0004462,0.0024275,0.0030344,0.0013086,0.0014413,0.0032999,0.017079,0.018907,0.014108,0.014978,0.021123,6.4185,6.8118,5.5202,5.6245,6.8104,1.7135,1.9244,1.0949,1.1501,1.8995,0.048601,0.055277,0.036886,0.039511,0.061586,2.952,3.0238,2.7293,2.7527,3.0176,0.00027106,0.00033417,0.00018265,0.00020603,0.00041652,0.02814,0.021712,0.015013,0.023707,0.041129,0.00086604,0.00051831,0.00022764,0.00047913,0.0015353,-0.0021293,0.00046694,0.0042959,0.011244,0.017202,0.029428,0.022766,0.015088,0.021889,0.039183,6.2134,4.8126,3.9562,3.6006,6.977,-1.6681,-0.81255,1.4487,1.4339,2.2839,0.039124,0.039127,0.039131,0.062036,0.12758,2.884,2.508,2.6064,2.6168,3.1018,0.00079184,0.00047141,0.0002254,0.000562,0.0016916,1
0.026452,0.014548,0.012633,0.016768,0.013232,0.00052823,0.00013392,0.00018557,0.00035097,0.0002046,-0.016648,-0.010222,-0.0033378,-0.00062585,-0.0033796,0.022983,0.011572,0.013622,0.018734,0.014304,2.5209,1.6483,1.5932,2.1134,1.6551,-0.88211,0.41235,-0.00084336,0.57423,0.07465,0.0059139,0.0059114,0.013521,0.027794,0.014959,2.0434,1.4773,1.592,1.6575,1.575,0.00069972,0.00021163,0.0001596,0.00028117,0.0001751,0.031503,0.025153,0.022052,0.022207,0.022219,0.0011828,0.0007589,0.00057795,0.00058635,0.00058663,-0.0026024,0.00047939,0.0021573,0.002123,0.0021915,0.034392,0.027548,0.024041,0.024215,0.024221,3.2985,2.8664,2.5294,2.5392,2.5273,-1.2709,-1.0054,-0.7866,-0.79377,-0.78651,0.026332,0.026332,0.026332,0.026332,0.026332,2.1536,1.9643,1.7894,1.795,1.7883,0.00099246,0.00063265,0.00048628,0.00049313,0.00049366,1
0.020416,0.024341,0.02439,0.020305,0.021927,0.00048369,0.00073876,0.00074188,0.00043516,0.00044587,0.0054657,0.00121,0.0011682,0.0080108,0.01114,0.021993,0.02718,0.027237,0.020861,0.021116,2.5979,2.25,2.2488,2.5772,1.755,1.0411,0.57221,0.56599,0.87393,0.25299,0.042034,0.042868,0.04287,0.042041,0.040069,2.0588,1.7611,1.7577,2.0704,1.8274,0.00041683,0.00059247,0.00059487,0.0004123,0.00048079,0.038496,0.049018,0.036911,0.018415,0.02135,0.0017706,0.0028207,0.001623,0.00033056,0.00031619,-0.0025339,-0.0072252,-0.0031503,0.0079785,0.013868,0.042079,0.05311,0.040286,0.018181,0.017782,3.3185,3.6,3.2079,1.5022,2.3097,-1.343,-1.4826,-1.2736,-0.14443,-0.78684,0.02714,0.027142,0.027143,0.027549,0.028326,2.1523,2.2645,2.1456,1.496,1.3268,0.0014819,0.0024028,0.0013624,0.00033913,0.00045582,1
0.014885,0.028358,0.024732,0.0060732,0.016008,0.00019166,0.00074167,0.00055819,3.35E-05,0.00029255,0.0082612,0.01452,0.012851,0.003171,-0.0047147,0.013844,0.027234,0.023626,0.005791,0.017104,2.4251,3.0283,2.9552,2.0885,2.8293,0.98774,1.3519,1.3058,0.61943,-1.0708,0.030898,0.06219,0.053902,0.011965,0.011959,2.0757,2.1931,2.1794,1.9702,2.0988,0.00022157,0.00080416,0.00061169,3.69E-05,0.00025627,0.054501,0.054905,0.033152,0.029363,0.036445,0.0034284,0.0034761,0.0013188,0.00096465,0.0014254,0.010649,0.010855,-0.0002397,-0.0076361,-0.011848,0.058553,0.058958,0.036316,0.031059,0.037755,2.4499,2.467,1.807,2.0095,1.531,0.5859,0.60207,-0.56229,-0.30128,-0.34629,0.10903,0.11026,0.035398,0.028928,0.029407,2.0005,2.0083,1.6925,1.8918,1.6535,0.0029704,0.0030146,0.0010991,0.00086218,0.0013282,1
